RQ,Metric,Technique/Comparison,Value,Threshold/Comparison,p-value,Effect Size,N,Status
RQ1,Cosine Similarity,Zero-Shot,0.7995,0.80,0.0710,-0.0040,100,Không đạt
RQ1,Cosine Similarity,Few-Shot,0.8141,0.80,0.0007,0.1218,100,Đạt
RQ1,Cosine Similarity,Chain-of-Thought,0.8100,0.80,0.0046,0.0881,100,Đạt
RQ2,AST Parse Rate,Zero-Shot,1.0000,0.85,0.0000,—,100,Đạt
RQ2,AST Parse Rate,Few-Shot,1.0000,0.85,0.0000,—,100,Đạt
RQ2,AST Parse Rate,Chain-of-Thought,0.9900,0.85,0.0000,—,100,Đạt
RQ3 (Semantic),Cosine Similarity,Few-Shot vs Zero-Shot,0.8141 vs 0.7995,Paired,0.0034,0.3029,100,Có ý nghĩa
RQ3 (Semantic),Cosine Similarity,Few-Shot vs CoT,0.8141 vs 0.8100,Paired,0.3604,0.0972,100,Không ý nghĩa
RQ3 (Semantic),Cosine Similarity,Zero-Shot vs CoT,0.7995 vs 0.8100,Paired,0.1106,-0.2264,100,Không ý nghĩa
RQ3 (Syntax),AST Parse Rate,Few-Shot vs Zero-Shot,1.0000 vs 1.0000,McNemar,1.0000,—,100,Không ý nghĩa
RQ3 (Syntax),AST Parse Rate,Few-Shot vs CoT,1.0000 vs 0.9900,McNemar,1.0000,—,100,Không ý nghĩa
RQ3 (Syntax),AST Parse Rate,Zero-Shot vs CoT,1.0000 vs 0.9900,McNemar,1.0000,—,100,Không ý nghĩa
